"time","reference","prediction"
0,-2,-2.016419987959337
0.002,-1.9935590746999736,-2.010124777989038
0.004,-1.98680343058134,-2.0034682983795444
0.006,-1.9797343587953395,-1.9964514761157792
0.008,-1.9723533494007655,-1.98907556612683
0.01,-1.9646620908925823,-1.9813421529604422
0.012,-1.9566624696049906,-1.97325315207779
0.014,-1.948356568989231,-1.964810810752101
0.016,-1.939746668766516,-1.9560177085545591
0.018,-1.9308352439565477,-1.9468767574108563
0.02,-1.9216249637821634,-1.9373912012118941
0.022,-1.912118690450724,-1.9275646149624492
0.024,-1.902319477812943,-1.9174009034520973
0.026,-1.8922305698999302,-1.9069042994333687
0.028,-1.881855399339299,-1.896079361292982
0.03,-1.8711975856512635,-1.8849309702030599
0.032,-1.8602609334257316,-1.87346432674049
0.034,-1.8490494303814704,-1.8616849469640533
0.036,-1.837567245308495,-1.8495986579405588
0.038,-1.82581872589491,-1.8372115927130648
0.04,-1.8138083964395044,-1.8245301847062274
0.042,-1.8015409554514692,-1.811561161565976
0.044,-1.7890212731386832,-1.7983115384330022
0.046,-1.7762543887860829,-1.7847886106519466
0.048,-1.7632455080256961,-1.7709999459207286
0.05,-1.75,-1.7569533758870337
0.052,-1.736523394420313,-1.7426569872016966
0.054,-1.7228213785220186,-1.7281191120414414
0.056,-1.7088997939184654,-1.713348318116175
0.058,-1.6947646333554658,-1.6983533981788264
0.06,-1.680422037368367,-1.6831433590584082
0.062,-1.6658782908437422,-1.667727410239706
0.064,-1.651139819487801,-1.6521149520155678
0.066,-1.6362131862036808,-1.6363155632403048
0.068,-1.621105087379836,-1.6203389887150714
0.07,-1.6058223490918084,-1.604195126238369
0.072,-1.590371923219701,-1.587894013356852
0.074,-1.5747608834837432,-1.571445813853538
0.076,-1.5589964214003897,-1.5548608040121819
0.078,-1.543085842161428,-1.5381493586980453
0.08,-1.5270365604386407,-1.5213219372965323
0.082,-1.5108560961166075,-1.5043890695521105
0.084,-1.4945520699562655,-1.4873613413507014
0.086,-1.4781321991919132,-1.4702493804891534
0.088,-1.4616042930643687,-1.4530638424756273
0.09,-1.444976248293038,-1.4358153964046423
